HUMANI-CIND22-ND#22-HNIND1-C,2000
HUMANI-CIND4-ND#4-HNIND2-C,2000
HUMANI-CIND5-ND#5-HNIND3-C,2000
WEE-TD1-TD#1-HNIND4-C,1500
WEE-TD1-TD#1-HNIND5-C,30
WEE-TD1-TD#1-HNIND6-C,1500
WEE-TD3-TD#3-HNIND7-C,200
WEE-TD3-TD#3-HNIND8-C,200
WEE-CIND16-PL#16-HNIND9-C,6466
WEE-CIND16-PL#16-HNIND10-C,4260
WEE-CIND16-PL#16-HNIND11-C,4260
WEE-CIND16-PNF#16-HNIND12-C,368
WEE-CIND16-PNF#16-HNIND13-C,1236
WEE-CIND16-PNF#16-HNIND14-C,100
WEE-CIND16-PNF#16-HNIND15-C,370
WEE-CIND16-PNF#16-HNIND16-C,370
WEE-CIND16-PNF#16-HNIND17-C,370
WEE-CIND16-PNF#16-HNIND18-C,684
WEE-CIND16-PROLEMPA#16-HNIND19-C,1500
WEE-CIND17-PDR#17-HNIND20-C,3525
WEE-CIND17-PNF#17-HNIND21-C,684
WEE-CIND17-PROLEMPA#17-HNIND22-C,11639
WEE-CIND18-PNF#18-HNIND23-C,1236
WEE-CIND18-PNF#18-HNIND24-C,1236
FNS-CIND13-ACS#13-HNIND25-C,3000
FNS-CIND13-ACS#13-HNIND26-C,7000
FNS-CIND13-ACS#13-HNIND27-C,8000
FNS-CIND13-PL#13-HNIND28-C,39765
FNS-CIND13-PL#13-HNIND29-C,6300
FNS-CIND13-PNF#13-HNIND30-C,1236
FNS-CIND13-PNF#13-HNIND31-C,1236
FNS-CIND13-PNF#13-HNIND32-C,1236
FNS-CIND13-PNF#13-HNIND33-C,772
FNS-CIND13-PNF#13-HNIND34-C,1236
FNS-CIND13-PNF#13-HNIND35-C,1236
FNS-CIND13-PNF#13-HNIND36-C,410
FNS-CIND13-PNF#13-HNIND37-C,1236
FNS-CIND13-PNF#13-HNIND38-C,100
FNS-CIND13-PNF#13-HNIND39-C,126
FNS-CIND13-PNF#13-HNIND40-C,319
FNS-CIND13-PNF#13-HNIND41-C,319
FNS-CIND14-ACS#14-HNIND42-C,1500
FNS-CIND14-HGSA#14-HNIND43-C,9569
FNS-CIND14-PL#14-HNIND44-C,1585
FNS-CIND14-PL#14-HNIND45-C,1755
FNS-CIND14-PNF#14-HNIND46-C,100
FNS-CIND15-ACS#15-HNIND47-C,24000
FNS-CIND15-ACS#15-HNIND48-C,15000
FNS-CIND15-ACS#15-HNIND49-C,6500
FNS-CIND15-ACS#15-HNIND50-C,8000
FNS-CIND15-ACS#15-HNIND51-C,1875
FNS-CIND15-DPCO#15-HNIND52-C,649
FNS-CIND15-DPCO#15-HNIND53-C,862
FNS-CIND15-DPCO#15-HNIND54-C,946
FNS-CIND15-PL#15-HNIND55-C,1200
FNS-CIND15-PL#15-HNIND56-C,1104
FNS-CIND15-PL#15-HNIND57-C,1248
FNS-CIND15-PNF#15-HNIND58-C,119
FNS-CIND15-PNF#15-HNIND59-C,6390
FNS-CIND15-PNF#15-HNIND60-C,119
FNS-CIND15-PNF#15-HNIND61-C,6390
FNS-CIND15-PNF#15-HNIND62-C,468
FNS-CIND21-ACS#21-HNIND63-C,19000
FNS-CIND21-ACS#21-HNIND64-C,7000
FNS-CIND21-ACS#21-HNIND65-C,12000
FNS-CIND21-ACS#21-HNIND66-C,12000
FNS-CIND21-ACS#21-HNIND67-C,8000
FNS-CIND21-ACS#21-HNIND68-C,12000
FNS-CIND21-DPCO#21-HNIND69-C,378
FNS-CIND21-PDR#21-HNIND70-C,100
FNS-CIND21-PL#21-HNIND71-C,6112
FNS-CIND21-PL#21-HNIND72-C,1248
FNS-CIND21-PL#21-HNIND73-C,4694
FNS-CIND21-PL#21-HNIND74-C,29900
FNS-CIND21-PL#21-HNIND75-C,6000
FNS-CIND21-PNF#21-HNIND76-C,126
FNS-CIND21-PNF#21-HNIND77-C,126
FNS-CIND21-PNF#21-HNIND78-C,126
FNS-CIND21-PNF#21-HNIND79-C,1236
FNS-CIND21-SG#21-HNIND80-C,172
FNS-CIND21-SG#21-HNIND81-C,172
ROLES-CIND1-PDR#1-HNIND82-C,600
ROLES-CIND1-PNF#1-HNIND83-C,750
ROLES-CIND1-PNF#1-HNIND84-C,230
ROLES-CIND19-PDR#19-HNIND85-C,600
ROLES-CIND19-PDR#19-HNIND86-C,600
ROLES-CIND19-PDR#19-HNIND87-C,600
ROLES-CIND19-PDR#19-HNIND88-C,115
ROLES-CIND19-PNF#19-HNIND89-C,300
ROLES-CIND19-PNF#19-HNIND90-C,1220
ROLES-CIND19-PNF#19-HNIND91-C,6390
ROLES-CIND19-PROLEMPA#19-HNIND92-C,3000
ROLES-CIND19-SG#19-HNIND93-C,172
ROLES-CIND20-PDR#20-HNIND94-C,1160
ROLES-CIND20-PDR#20-HNIND95-C,600
ROLES-CIND20-PDR#20-HNIND96-C,200
ROLES-CIND20-PL#20-HNIND97-C,1585
ROLES-CIND20-PL#20-HNIND98-C,1242
ROLES-CIND20-PROLEMPA#20-HNIND99-C,60
ROLES-CIND20-SG#20-HNIND100-C,172
ROLES-CIND23-PNF#23-HNIND101-C,1020
ROLES-CIND24-TD#24-HNIND102-C,210
ROLES-CIND25-PNF#25-HNIND103-C,1020
ROLES-CIND25-PNF#25-HNIND104-C,1020
ROLES-CIND25-PNF#25-HNIND105-C,1236
ROLES-CIND25-PNF#25-HNIND106-C,772
ROLES-CIND25-PROLEMPA#25-HNIND107-C,450
